Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
theHunter: Call of the Wild™ - Essentials DLC Bundle,https://store.playstation.com/pt-br/product/UP3501-CUSA08661_00-THCOTWESSENTIALS,-33%,"R$36,11","R$53,90"
theHunter: Call of the Wild™ - Labrador Retriever,https://store.playstation.com/pt-br/product/UP3501-CUSA08661_00-THCOTWLAMBRADORR,-25%,"R$23,92","R$31,90"
theHunter: Call of the Wild™ - Master Hunter Bundle,https://store.playstation.com/pt-br/product/UP3501-CUSA08661_00-MASTERHUNTERBUND,-50%,"R$159,95","R$319,90"
Need for Speed™ Heat,https://store.playstation.com/pt-br/product/UP0006-CUSA15081_00-NEEDFORSPEED2020,-95%,"R$11,94","R$238,99"
The Elder Scrolls Online,https://store.playstation.com/pt-br/product/UP1003-PPSA02017_00-ESOMORROWINDBUND,-75%,"R$20,87","R$83,50"
The Elder Scrolls Online Collection: Necrom,https://store.playstation.com/pt-br/product/UP1003-CUSA00132_00-MASEFULL00000000,-67%,"R$82,33","R$249,50"
The Elder Scrolls Online Deluxe Collection: Necrom,https://store.playstation.com/pt-br/product/UP1003-CUSA00132_00-MADEFULL00000000,-67%,"R$115,46","R$349,90"
Wo Long: Fallen Dynasty Complete Edition (PS4 & PS5),https://store.playstation.com/pt-br/product/UP4108-PPSA08772_00-WOLONGCE00000000,-25%,"R$224,92","R$299,90"
Wo Long: Fallen Dynasty Batalha de Zhongyuan,https://store.playstation.com/pt-br/product/UP4108-PPSA08772_00-DLC1000000000000,-30%,"R$45,15","R$64,50"
Wo Long: Fallen Dynasty Conquistador de Jiangdong,https://store.playstation.com/pt-br/product/UP4108-PPSA08772_00-DLC2000000000000,-30%,"R$45,15","R$64,50"
Wo Long: Fallen Dynasty Season Pass,https://store.playstation.com/pt-br/product/UP4108-PPSA08772_00-SEASONPASS000000,-30%,"R$93,73","R$133,90"
Wo Long: Fallen Dynasty Revolta em Jingxiang,https://store.playstation.com/pt-br/product/UP4108-PPSA08772_00-DLC3000000000000,-30%,"R$45,15","R$64,50"
Marvel's Midnight Suns - Onde os Mortos-Vivos Não Têm Vez para PS4™,https://store.playstation.com/pt-br/product/UP1001-CUSA26174_00-CODADLC100000000,-33%,"R$53,53","R$79,90"
Marvel's Midnight Suns para PS4™,https://store.playstation.com/pt-br/product/UP1001-CUSA26174_00-CODA000000000000,-75%,"R$74,97","R$299,90"
Marvel's Midnight Suns Edição Lendária para PS4™,https://store.playstation.com/pt-br/product/UP1001-CUSA26174_00-MMSLEGENDARY0000,-75%,"R$124,87","R$499,50"
The Walking Dead: The Telltale Definitive Series,https://store.playstation.com/pt-br/product/UP2908-CUSA16490_00-TWDTDS0000000000,-60%,"R$99,80","R$249,50"
Crash™ Team Racing Nitro-Fueled,https://store.playstation.com/pt-br/product/UP0002-CUSA13795_00-CRASHTEAMRACING1,-65%,"R$62,96","R$179,90"
Pacote de Jogos - Crash™ Team Racing Nitro-Fueled + Spyro™,https://store.playstation.com/pt-br/product/UP0002-CUSA13795_00-CTRSRTBUNDLE0001,-65%,"R$125,82","R$359,50"
Black Desert: Traveler Edition,https://store.playstation.com/pt-br/product/UP4162-CUSA15233_00-7789368583668763,-80%,"R$31,98","R$159,90"
Pacote de jogo Spyro™ + Crash Remastered,https://store.playstation.com/pt-br/product/UP0002-CUSA12125_00-SPYROCRASHBUND01,-65%,"R$115,32","R$329,50"
Spyro™ Reignited Trilogy,https://store.playstation.com/pt-br/product/UP0002-CUSA12125_00-SPYROTRILOGY0001,-65%,"R$62,96","R$179,90"
